ID,SKU,Nome,Categoria,Serie,Descricao,Imagem_Principal,Imagens,URL_Detalhe
1586,CBP022,Banco Olímpico Inclinado Super,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP022-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP022-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP022-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-inclinado-super-cbp022/
1588,CBP024,Banco Olímpico Multiuso,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP024-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP024-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP024-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-multiuso-cbp024/
1585,CBP021,Banco Olímpico Reto,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP021-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP021-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP021-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-reto-cbp021/
1584,CBP020,Banco Olímpico Reto Super,Outros Bancos,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP020-bgbranco-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP020-bgbranco-bgbranco-1.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP020-ambientadas-ambientadas-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-reto-super-cbp020/
1404,GM117,Banco Olímpico Supino Ajustável,Bancos Ajustáveis,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM117-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM117-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM117-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-ajustavel-gm117/
853,B1041,Banco Olímpico Supino Declinado,Bancos Ajustáveis,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1041-bgbranco-1.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1041-bgbranco-1.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-declinado-b1041/
170,GM36,Banco Olímpico Supino Declinado,Bancos Declinados,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM36-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM36-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM36-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-declinado-gm36/
1463,LB646,Banco Olímpico Supino Declinado,Bancos Declinados,Equipamentos - Série LB,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB646-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB646-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB646-3-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-declinado-lb646/
854,B1042,Banco Olímpico Supino Inclinado,Bancos Inclinados,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1042-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1042-1-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-inclinado-b1042/
1403,GM116,Banco Olímpico Supino Inclinado,Bancos Inclinados,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM116-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM116-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM116-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-inclinado-gm116/
169,GM35,Banco Olímpico Supino Inclinado,Bancos Inclinados,Equipamentos - Série GM,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM35-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM35-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM35-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/banco-olimpico-supino-inclinado-gm35/
